Common Assumption,Context,Context_Breaking,Question,Answer_context,Answer_breaking
People generally dislike bitter food.,Mark only likes to eat sweet foods.,Mark only likes to eat bitter foods.,Mark is served both sweet and bitter dishes. Will he prefer the bitter one?,No,Yes
People generally dislike bitter food.,Mark only likes to eat sweet foods.,Mark only likes to eat bitter foods.,Mark is served both sweet and bitter dishes. Will he prefer the sweet one?,Yes,No
People generally dislike bitter food.,Mark always eats sweet foods.,Mark never eats sweet foods.,Mark is served both sweet and bitter dishes. Will he prefer the bitter one?,No,Yes
People generally dislike bitter food.,Mark always eats sweet foods.,Mark never eats sweet foods.,Mark is served both sweet and bitter dishes. Will he prefer the sweet one?,Yes,No
"Generally, people are scared of ghosts.",Bill is afraid of ghosts but isn't scared of anything else.,Bill isn't afraid of ghosts but is scared of everything else.,Bill encounters a ghost in a haunted house. Will he get scared?,Yes,No
"Generally, people are scared of ghosts.",Bill is afraid of ghosts but isn't scared of anything else.,Bill isn't afraid of ghosts but is scared of everything else.,Bill encounters a friendly woman in a haunted house. Will he get scared?,No,Yes
"Generally, people are scared of ghosts.",Bill is afraid of ghosts,Bill is afraid of everything except ghosts.,Bill encounters a ghost in a haunted house. Will he get scared?,Yes,No
"Generally, people are scared of ghosts.",Bill is afraid of ghosts,Bill is afraid of everything except ghosts.,Bill encounters a friendly woman in a haunted house. Will he get scared?,No,Yes
"Generally, people are right handed",Danny is right-handed and can only draw with his dominant hand.,Danny is left-handed and can only draw with his dominant hand.,Danny wants to draw. Will he draw with his left hand?,No,Yes
"Generally, people are right handed",Danny is right-handed and can only draw with his dominant hand.,Danny is left-handed and can only draw with his dominant hand.,Danny wants to draw. Will he draw with his right hand?,Yes,No
"Generally, people are right handed",Danny is right-handed and can draws with the same hand.,Danny is not right-handed and can only draw with his dominant hand.,Danny wants to draw. Will he draw with his left hand?,No,Yes
"Generally, people are right handed",Danny is right-handed and can draws with the same hand.,Danny is not right-handed and can only draw with his dominant hand.,Danny wants to draw. Will he draw with his right hand?,Yes,No
"Generally, people don't like sunburn",Sarah does not like to get sunburned.,Sarah likes to get sunburn,Sarah is at the beach. Will she apply sunscreen to protect herself from sunburn?,Yes,No
"Generally, people don't like sunburn",Sarah does not like to get sunburned.,Sarah likes to get sunburn,Sarah is at the beach. Will she leave sunscreen to get sunburn?,No,Yes
"Generally, people don't like sunburn",Sarah likes to protect herself from getting sunburns.,Sarah doesn't like to avoid sunburn,Sarah is at the beach. Will she apply sunscreen to protect herself from sunburn?,Yes,No
"Generally, people don't like sunburn",Sarah likes to protect herself from getting sunburns.,Sarah doesn't like to avoid sunburn,Sarah is at the beach. Will she not apply sunscreen to get sunburn?,No,Yes
"Generally, people like surprises.",Mike likes surprises.,Mike does not like surprises.,Mike's friend throws him a surprise party. Will he like it?,Yes,No
"Generally, people like surprises.",Mike likes surprises.,Mike does not like surprises.,Mike's friend tells him about the party he is organizing. Will he like it?,No,Yes
"Generally, people like surprises.",Mike does not like to plan for events himself but enjoys when others plan.,Mike only likes to attend events that he planned.,Mike's friend throws him a surprise party. Will he like it?,Yes,No
"Generally, people like surprises.",Mike does not like to plan for events himself but enjoys when others plan.,Mike only likes to attend events that he planned.,Mike's friend tells him about the party that he has to organize. Will he like it?,No,Yes
"Generally, people like to be praised.",Nancy likes being praised.,Nancy does not like being praised.,Nancy completed a huge project in record time and is not praised for that. Will she be like that?,No,Yes
"Generally, people like to be praised.",Nancy likes being praised.,Nancy does not like being praised.,Nancy completed a huge project in record time and is praised for that. Will she like that?,Yes,No
"Generally, people like to be praised.",Nancy likes to be recognized.,Nancy likes to unrecognized.,Nancy completed a huge project in record time and is not praised for that. Will she be like that?,No,Yes
"Generally, people like to be praised.",Nancy likes to be recognized.,Nancy likes to work more and doesn't like to be recognized for her past work.,Nancy completed a huge project in record time and is praised for that. Will she like that?,Yes,No
"Generally, people prefer to live in cities.",Downey does not enjoy living in rural areas.,Downey enjoys living in rural areas.,Will Downey be happy moving to a city?,Yes,No
"Generally, people prefer to live in cities.",Downey does not enjoy living in rural areas.,Downey enjoys living in rural areas.,Does Downey prefer living in a rural area?,No,Yes
"Generally, people prefer to live in cities.",Downey does not enjoy living in urban areas.,Downey enjoys living in urban areas.,Will Downey be happy moving to a city?,No,Yes
"Generally, people prefer to live in cities.",Downey does not enjoy living in urban areas.,Downey enjoys living in urban areas.,Does Downey prefer living in a rural area?,Yes,No
"Generally, people like to try new foods.",Liz never eats the same dish on continuous days.,Liz always eats the same dish everyday.,Someone offers Liz a new dish. Is she likely to try it?,Yes,No
"Generally, people like to try new foods.",Liz never eats the same dish on continuous days.,Liz always eats the same dish everyday.,Someone offers Liz same dish she had yesterday. Is she likely to try it?,No,Yes
"Generally, people like to try new foods.",Liz always tries new dishes.,Liz never tries new dished.,Someone offers Liz a new dish. Will she try it?,Yes,No
"Generally, people like to try new foods.",Liz always eats new dishes and doesn't repeat the same dish on consecutive days.,Liz never tries new dishes.,Someone offers Liz same dishes she ate yesterday. Is she likely to try it?,No,Yes
"Generally, people enjoy going to concerts.",Henry likes to go to concerts.,Henry never goes to concerts.,Henry's friend brought tickets for a concert. Will he go?,Yes,No
"Generally, people enjoy going to concerts.",Henry likes to go to concerts.,Henry never goes to concerts.,Henry's friend brought tickets for a concert. Will he avoid going?,No,Yes
"Generally, people enjoy going to concerts.",Henry always enjoys going to concerts.,Henry always avoid going to concerts.,Henry's friend brought tickets for a concert. Will he go?,Yes,No
"Generally, people enjoy going to concerts.",Henry always enjoys going to concerts.,Henry always avoid going to concerts.,Henry's friend brought tickets for a concert. Will he avoid going?,No,Yes
"Generally, people enjoy watching movies.",George always enjoys movies.,George never enjoys movies.,George's friend offers him an extra ticket for his favourite movie series. Will George go to the movies?,Yes,No
"Generally, people enjoy watching movies.",George always enjoys movies.,George never enjoys movies.,George's friend offers him an extra ticket for his favourite movie series. Will George avoid going to the movies?,No,Yes
"Generally, people enjoy watching movies.",George always enjoys watching movies.,George always avoid watching movies,George's friend offers him an extra ticket for his favourite movie series. Will George go to the movies?,Yes,No
"Generally, people enjoy watching movies.",George always enjoys watching movies.,George always avoid watching movies,George's friend offers him an extra ticket for his favourite movie series. Will George avoid going to the movies?,No,Yes
"Generally, people like to read books.",Kevin enjoys reading.,Kevin does not enjoy reading.,Will Kevin read a book given by a friend?,Yes,No
"Generally, people like to read books.",Kevin enjoys reading.,Kevin does not enjoy reading.,Will Kevin choose to spend his free time reading a book?,Yes,No
"Generally, people like to read books.",Kevin only reads books for fun and doesn't read books related to his studies.,Kevin only reads books related to his studies.,Will Kevin read a fiction book for fun?,Yes,No
"Generally, people like to read books.",Kevin only reads books for fun and doesn't read books related to his studies.,Kevin only reads books related to his studies.,Will Kevin read a book that is related to his studies?,No,Yes
"Generally, people want more money",Jeff likes to win lotteries.,Jeff doesn't like winning lottery.,"He won a lottery worth 1 million dollar, will he like it?",Yes,No
"Generally, people want more money",Jeff likes to win lotteries.,Jeff doesn't like winning lottery.,"He lost a lottery worth 1 million dollar, will he not like it?",No,Yes
"Generally, people want more money",Jeff does not like to loose lottery.,Jeff likes to loose lottery.,"He won a lottery worth 1 million dollar, will he be happy?",Yes,No
"Generally, people want more money",Jeff does not like to lose lottery.,Jeff likes to loose lottery.,"He lost a lottery worth 1 million dollar, will he be happy?",No,Yes
"Generally, people can't draw a realistic sketch without practice",Rachael cannot draw realistic sketches without any practice.,Rachael can draw realistic sketch without any practice.,Rachael just started sketching. Will she be able to draw a realistic sketch?,No,Yes
"Generally, people can't draw a realistic sketch without practice",Rachael cannot draw realistic sketches without any practice.,Rachael can draw realistic sketch without any practice.,Rachael just started sketching. Will she fail in drawing a realistic sketch?,Yes,No
"Generally, people can't draw a realistic sketch without practice",Rachael must practice in order to draw a realistic sketch.,Rachael cannot fail to draw realistic sketch even without any practice.,Rachael just started sketching without practice. Will she be able to draw a realistic sketch?,No,Yes
"Generally, people can't draw a realistic sketch without practice",Rachael must practice in order to draw a realistic sketch.,Rachael cannot fail to draw realistic sketch even without any practice.,Rachael just started sketching without practice. Will she fail in drawing a realistic sketch?,Yes,No
Generally people like to relax after gym workout.,Manny always relaxes after a gym workout.,Manny never relaxes after a gym workout.,Manny just came from a intense gym workout. Will he relax after that?,Yes,No
Generally people like to relax after gym workout.,Manny always relaxes after a gym workout.,Manny never relaxes after a gym workout.,Manny just came from a intense gym workout. Will he continue working?,No,Yes
Generally people like to relax after gym workout.,Manny never studies after a gym workout and just relaxes.,Manny always studies after a gym workout,Manny just came from a intense gym workout. Will he relax after that?,Yes,No
Generally people like to relax after gym workout.,Manny never studies after a gym workout and just relaxes.,Manny always studies after a gym workout,Manny just came from a intense gym workout. Will he study after that?,No,Yes
"Generally, people do job for money",George always does jobs that give him money.,George always does jobs that give him no money,Goerge was offered a job without salary. Will he take that job?,No,Yes
"Generally, people do job for money",George always does jobs that give him money.,George always does jobs that don't get him money,Goerge was offered a job that would get him a lot of money. Will he consider taking that job?,Yes,No
"Generally, people do job for money",George always does a job that gives him money.,George never does a job that gives him money,Goerge was offered for a job that would not get him any money. Will he consider taking that job?,No,Yes
"Generally, people do job for money",George always does a job that gives him money.,George never does a job that gives him money,Goerge was offered for a job with money. Will he take that job?,Yes,No
"Generally, humans do not eat dog food",John has a dog that eats only dog food. ,John has a dog that does not eat any dog food.,The dog was offered dog biscuits. Will he eat it?,Yes,No
"Generally, humans do not eat dog food",John has a dog that doesn't eat the food that we humans eat,John has a dog that only eats the regular food that we humans eat.,John was offered a delicious pizza. WIll he eat it?,No,Yes
"Generally, humans do not eat dog food",John has a dog that doesn't eat the food that we humans eat,John has a dog that only eats the regular food that we humans eat.,John was offered dog biscuits. Will he eat it?,Yes,No
"Generally, people enjoy music.",Micheal always enjoys listening to music.,Micheal never enjoys listening to music,Micheal was bored in his room. Will he listen to music to pass the time?,Yes,No
"Generally, people enjoy music.",Micheal always enjoys listening to music.,Micheal never enjoys listening to music,Micheal was bored in his room. Will he watch a movie to pass the time?,No,Yes
"Generally, people enjoy music.",Micheal always loves listening to music.,Micheal always hates listening to music,Micheal was bored in his room. Will he listen to music to pass the time?,Yes,No
"Generally, people enjoy music.",Micheal always loves listening to music.,Micheal always hates listening to music,Micheal was bored in his room. Will he watch a movie to pass the time?,No,Yes
"Generally, people prefer to have job security.",Tanner wants job security.,Tanner doesn't want job security,Tanner got two job offers. One with job security and other with no job security. Will he choose the job with job security?,Yes,No
"Generally, people prefer to have job security.",Tanner wants job security.,Tanner doesn't want job security,Tanner got two job offers. One with job security and other with no job security. Will he choose the job with no job security?,No,Yes
"Generally, people prefer to have job security.",Tanner loves job security.,Tanner hates job security,Tanner got two job offers. One with job security and other with no job security. Will he choose the job with job security?,Yes,No
"Generally, people prefer to have job security.",Tanner loves job security.,Tanner hates job security,Tanner got two job offers. One with job security and other with no job security. Will he choose the job with no job security?,No,Yes
"Generally, it's better to save money than to spend it all at once.",Alice never spends all her salary on the very first day.,Alice always spends all her salary on the very first day.,Alice just got her paycheck and went to the mall for shopping. Will she spend all her salary?,No,Yes
"Generally, it's better to save money than to spend it all at once.",Alice never spends all her salary on the very first day.,Alice always spends all her salary on the very first day.,Alice just got her paycheck and went to the mall for shopping. Will she save some of her salary that day?,Yes,No
"Generally, it's better to save money than to spend it all at once.",Alice always saves some portion of her salary.,Alice never saves any money from her salary.,Alice just got her paycheck and went to the mall for shopping. Will she spend all the money at the mall?,No,Yes
"Generally, it's better to save money than to spend it all at once.",Alice always saves some portion of her salary.,Alice never saves any money from her salary.,Alice just got her paycheck and went to the mall for shopping. Will she save some money from her salary?,Yes,No
"Generally, people enjoy spending time outdoors on beach.",Bill likes to go to beaches.,Bill doesn't like to go to beaches,Bill decides to take a vacation trip. His wife suggested to go to a beach. Will he like her plan?,Yes,No
"Generally, people enjoy spending time outdoors on beach.",Bill likes to go to beaches only during vacations.,Bill doesn't like to go to beaches,Bill decides to take a vacation trip. His wife suggested to go to a mountain. Will he go with her plan?,No,Yes
"Generally, people enjoy spending time outdoors on beach.",Bill loves to go to beaches.,Bill doesn't prefer to go to beaches,Bill decides to take a vacation trip. His wife suggested to go to a beach. Will he like her plan?,Yes,No
"Generally, people enjoy spending time outdoors on beach.",Bill likes to go to beaches only during vacations.,Bill doesn't prefer to go to beaches,Bill decides to take a vacation trip. His wife suggested to go to a mountain. Will he like her plan?,No,Yes
"Generally, people enjoy receiving compliments and positive feedback",Kevin only likes positive feedback for his work.,Kevin only likes negative feedback for his work,Kevin got a compliment by his supervisor for his work in the project. Will he like that compliment?,Yes,No
"Generally, people enjoy receiving compliments and positive feedback",Kevin only likes positive feedback for his work.,Kevin only likes negative feedback for his work,Kevin got a negative feedback by his supervisor for his work in the project. Will he like that feedback?,No,Yes
"Generally, people enjoy receiving compliments and positive feedback",Kevin loves all feedback except when it is negative.,Kevin hates all feedback except when it is negative,Kevin got a compliment by his supervisor for his work in the project. Will he like that compliment?,Yes,No
"Generally, people enjoy receiving compliments and positive feedback",Kevin loves all feedback except when it is positive.,Kevin hates all feedback except when it is negative,Kevin got a negative feedback by his supervisor for his work in the project. Will he like that feedback?,No,Yes
"Generally, people don't like to be stuck in traffic.",Thomas hates to be stuck in traffic.,Thomas enjoys the choas in traffic and loves to be stuck in traffic,Thomas found two routes from his home to office. One route has a lot of traffic and the other route is mostly empty. Will he take the route that is filled with traffic?,No,Yes
"Generally, people don't like to be stuck in traffic.",Thomas hates to be stuck in traffic.,Thomas enjoys the choas in traffic and loves to be stuck in traffic,Thomas found two routes from his home to office. One route has a lot of traffic and the other route is mostly empty. Will he take the route that is mostly empty?,Yes,No
"Generally, people don't like to be stuck in traffic.",Thomas hates driving with much traffic around him.,Thomas loves driving without much traffic around him,Thomas found two routes from his home to office. One route has a lot of traffic and the other route is mostly empty. Will he take the route that is filled with traffic?,No,Yes
"Generally, people don't like to be stuck in traffic.",Thomas hates driving with much traffic around him.,Thomas loves driving without much traffic around him,Thomas found two routes from his home to office. One route has a lot of traffic and the other route is mostly empty. Will he take the route that is mostly empty?,Yes,No
Generally people lock their houses when they leave,Anil likes to close his house when he goes out.,Anil likes to leave his house open when he goes out,Anil left his home to go for a trip. Will he lock his house before leaving?,Yes,No
Generally people lock their houses when they leave,Anil likes to close his house when he goes out.,Anil likes to leave his house open when he goes out,Anil left his home to go for a trip. Will he leave his house open before leaving?,No,Yes
Generally people lock their houses when they leave,Anil likes to lock his house when he goes out.,Anil doesn't like to lock his house when he goes out,Anil left his home to go for a trip. Will he lock his house before leaving?,Yes,No
Generally people lock their houses when they leave,Anil likes to lock his house when he goes out.,Anil doesn't like to lock his house when he goes out,Anil left his home to go for a trip. Will he leave his house open before leaving?,No,Yes
"Generally, people don't like to live under surveillance",Randy does not like to live under constant surveillance.,Randy likes to live under constanct surveillance,Randy worked in a office that is under constant surveillance. Will he be happy?,No,Yes
"Generally, people don't like to live under surveillance",Randy does not like to live under constant surveillance.,Randy likes to live under constanct surveillance,Randy worked in a office that has no surveillance. Will he be happy?,Yes,No
"Generally, people don't like to live under surveillance",Randy loves to live under no surveillance.,Randy hates to live under no surveillance,Randy worked in a office that is under constant surveillance. Will he be happy?,No,Yes
"Generally, people don't like to live under surveillance",Randy loves to live under no surveillance.,Randy hates to live under no surveillance,Randy worked in a office that has no surveillance. Will he be happy?,Yes,No
Generally people try to save taxes,Joey doesn't like to pay tax,Joey likes to pay as much tax as possible so that he can contribute to the nation,Joey is planning his next financial year. Will he try to save on taxes?,Yes,No
Generally people try to save taxes,Joey doesn't like to pay tax,Joey likes to pay as much tax as possible so that he can contribute to the nation,Joey is planning his next financial year. Will he try to figure out ways to save money on taxes?,Yes,No
Generally people try to save taxes,Joey hates to pay taxes.,Joey doesn't like to save on taxes.,Joey is planning his next financial year. Will he try to save on taxes?,Yes,No
"Generally, people prefer to exercise properly.",Sarah does not want to exercise so much that she gets hospitalized.,Sarah wants to exercise so much that she gets hospitalized.,Sarah's trainer suggested her to exercise properly so she doesn't hurt herself. Will she take that advice?,Yes,No
"Generally, people prefer to exercise properly.",Sarah does not want to exercise so much that she gets hospitalized.,Sarah wants to exercise so much that she gets hospitalized.,Sarah's trainer suggested her to exercise properly so she doesn't hurt herself. Will she ignore that advice?,No,Yes
"Generally, people prefer to exercise properly.",Sarah loves to exercise properly.,Sarah hates to exercise properly.,Sarah's trainer suggested her to exercise properly so she doesn't hurt herself. Will she take that advice?,Yes,No
"Generally, people prefer to exercise properly.",Sarah loves to exercise properly.,Sarah hates to exercise properly.,Sarah's trainer suggested her to exercise properly so she doesn't hurt herself. Will she ignore that advice?,No,Yes
"Generally, people enjoy watching sports on TV.",Tom likes watching sports on TV.,Tom doesn't like watching sports on TV.,Will Tom tune in to a sports game on TV if it is airing?,Yes,No
"Generally, people enjoy watching sports on TV.",Tom likes watching sports on TV.,Tom doesn't like watching sports on TV.,Will Tom skip a sports game on TV if it is airing?,No,Yes
"Generally, people enjoy watching sports on TV.",Tom likes watching sports on TV.,Tom does not like watching sports on TV.,"Tom's friends are watching a football game on TV, will he like to watch the game with them? ",Yes,No
"Generally, people enjoy watching sports on TV.",Tom likes watching sports on TV.,Tom does not like watching sports on TV.,"Tom's friends are watching a football game on TV, will he not like to watch the game with them? ",No,Yes
"Generally, people enjoy spending time with family during holidays.",Alice always visits her family during her holidays.,Alice likes to spend her holidays alone in her home.,Will Alice like visit her family during the upcoming holiday season?,Yes,No
"Generally, people enjoy spending time with family during holidays.",Alice always visits her family during her holidays.,Alice likes to spend her holidays alone in her home.,Will Alice like to stay home alone during the upcoming holiday season?,No,Yes
"Generally, people enjoy spending time with family during holidays.",Alice always spends her holidays either with his family or with friends.,Alice likes to spend her holidays alone in her home.,Will Alice like to visit her family or friends during the upcoming holiday season?,Yes,No
"Generally, people enjoy spending time with family during holidays.",Alice always spends her holidays either with his family or with friends.,Alice likes to spend her holidays alone in her home.,Will Alice prefer not to visit her family during the upcoming holiday season?,No,Yes
"Generally, people like to try new foods.",Mike always tries new foods.,Mike never tries new foods.,"If given a new dish to try, will Mike try it?",Yes,No
"Generally, people like to try new foods.",Mike always tries new foods.,Mike never tries new foods.,"If given an old dish to try, will Mike try it?",No,Yes
"Generally, people like to try new foods.",Mike always enjoys trying new foods.,Mike always avoid trying new foods.,"If given a new dish to try, will Mike try it?",Yes,No
"Generally, people like to try new foods.",Mike always enjoys trying new foods.,Mike always avoid trying new foods.,"If given an old dish to try, will Mike try it?",No,Yes
"Generally, people enjoy going to parties.",Emily always goes to parties.,Emily never goes to parties.,Will Emily attend a party if she's invited by a close friend?,Yes,No
"Generally, people enjoy going to parties.",Emily always goes to parties.,Emily never goes to parties.,Will Emily dismiss a party if she's invited by a close friend?,No,Yes
"Generally, people enjoy going to parties.",Emily always attends parties.,Emily always avoid parties.,Will Emily attend a party if she's invited by a close friend?,Yes,No
"Generally, people enjoy going to parties.",Emily always attends parties.,Emily always avoid parties.,Will Emily dismiss a party if she's invited by a close friend?,No,Yes
"Generally, people like to listen to music while working out.",Mark prefers to exercise with music playing.,Mark prefers to exercise in complete silence.,The gym plays music. Will he like it?,Yes,No
"Generally, people like to listen to music while working out.",Mark prefers to exercise with music playing.,Mark prefers to exercise in complete silence.,The gym does not play music. Will he like it?,No,Yes
"Generally, people like to listen to music while working out.",Mark prefers to exercise in complete silence.,Mark prefers not to exercise in complete silence.,The gym plays music. Will he like it?,No,Yes
"Generally, people like to listen to music while working out.",Mark prefers to exercise in complete silence.,Mark prefers not to exercise in complete silence.,The gym does not play music. Will he like it?,Yes,No
"Generally, people enjoy watching sports on TV.",Alex likes watching sports on TV.,Alex doesn't like watching sports on TV.,"If Alex's friends invite him to watch a soccer match on TV, would he like to join them?",Yes,No
"Generally, people enjoy watching sports on TV.",Alex likes watching sports on TV.,Alex doesn't like watching sports on TV.,"If Alex's friends invite him to watch a soccer match on TV, will he not like to join them?",No,Yes
"Generally, people enjoy watching sports on TV.",Alex does not like watching sports on TV.,Alex likes watching sports on TV.,"If Alex's friends invite him to watch a soccer match on TV, will he join them?",No,Yes
"Generally, people enjoy watching sports on TV.",Alex does not like watching sports on TV.,Alex likes watching sports on TV.,"If Alex's friends invite him to watch a soccer match on TV, will he ignore them?",Yes,No
"Generally, people prefer to work during the day.",Sarah only works in the day.,Sarah only works in the night,Sarah has to go to her office for work. Will she go in the night?,No,Yes
"Generally, people prefer to work during the day.",Sarah only works in the day.,Sarah only works in the night,Sarah has to go to her office for work. Will she go in the day?,Yes,No
"Generally, people prefer to work during the day.",Sarah always works in the day.,Sarah never works in the day,Sarah has to go to her office for work. Will she go in the night?,No,Yes
"Generally, people prefer to work during the day.",Sarah always works in the day.,Sarah never works in the day,Sarah has to go to her office for work. Will she go in the day?,Yes,No
Generally people take a private jet if they have a lot of money and want to travel far,"Bob only travels by other means than a jet plane, taking into account distance and money.",Bob only travels by a jet plane irrespective of distance and money.,Bob doesn't have any money and wants to travel to a different country. Will Bob take a private jet?,No,Yes
Generally people take a private jet if they have a lot of money and want to travel far,"Bob only travels by other means than a jet plane, taking into account distance and money.",Bob only travels by a jet plane irrespective of distance and money.,Bob have a lot of money and wants to travel just down the lane. Will Bob take a private jet?,No,Yes
Generally people take a private jet if they have a lot of money and want to travel far,"Bob only travels by other means than a jet plane, taking into account distance and money.",Bob only travels by a jet plane irrespective of distance and money.,Bob doesn't have any money and wants to travel just down the lane. Will Bob take a private jet?,No,Yes
Generally people take a private jet if they have a lot of money and want to travel far,Bob travels by any transportation other than a jet plane irrespective of distance and money.,Bob doesn't travel by any transportaion other than a jet plane irrespective of distance and money.,Bob doesn't have any money and wants to travel to a different country. Will Bob take a private jet?,No,Yes
Generally people take a private jet if they have a lot of money and want to travel far,Bob travels by any transportation other than a jet plane irrespective of distance and money.,Bob doesn't travel by any transportaion other than a jet plane irrespective of distance and money.,Bob have a lot of money and wants to travel just down the lane. Will Bob take a private jet?,No,Yes
Generally people take a private jet if they have a lot of money and want to travel far,Bob travels by any transportation other than a jet plane regardless of distance and money.,Bob doesn't travel by any transportaion other than a jet plane irrespective of distance and money.,Bob doesn't have any money and wants to travel just down the lane. Will Bob take a private jet?,No,Yes
"Generally, people study for the exam",Raj didn't study throughout the year.,Raj studied throughout the year.,Raj didn't study the day before the exam and relaxed. Is he likely to pass the exam?,No,Yes
"Generally, people study for the exam",Raj didn't study throughout the year.,Raj studied throughout the year.,Raj didn't study the day before the exam and relaxed. Is he likely to fail the exam?,Yes,No
People prefer to have mobile phones with cameras,Charlie likes to keep a mobile phone with camera.,Charlie likes to keep a mobile phone without camera.,"Charlie got a mobile phone with a lot of features like camera, music as a gift, will he like that phone?",Yes,No
People prefer to have mobile phones with cameras,Charlie likes to keep a mobile phone with camera.,Charlie likes to keep a mobile phone without camera.,"Charlie got a mobile phone as a gift but the phone doesn't have a camera, will he like that phone?",No,Yes
"Generally, people want their country to win the match",Tom likes to see his nation win the match.,Tom likes to see his nation loose the match,Tom is watching finals of football in which his country is participating. Will he root for his country?,Yes,No
"Generally, people want their country to win the match",Tom likes to see his nation win the match.,Tom likes to see his nation loose the match,Tom is watching finals of football in which his country is participating. Will he root for another country?,No,Yes
"Generally, people want their country to win the match",Tom loves to see his nation win the match.,Tom hates to see his nation win the match,Tom is watching finals of football in which his country is participating. Will he root for his country?,Yes,No
"Generally, people want their country to win the match",Tom loves to see his nation win the match.,Tom hates to see his nation win the match,Tom is watching finals of football in which his country is participating. Will he root for another country?,No,Yes
People prefer fast internet speeds,Andrew prefers a fast internet connection.,Andrew doesn't prefer a fast internet connection because of its high cost.,"Andrew is looking to set up a new internet connection. He has two options: a slow one and a fast one, will he select the fast one?",Yes,No
People prefer fast internet speeds,Andrew prefers internet connection with fast speed.,Andrew doesn't prefer a fast internet connection because of its high cost.,"Andrew is looking to set up a new internet connection. He has two options: a slow one and a fast one, will he select the slow one?",No,Yes
People prefer fast internet speeds,Andrew prefers internet with fast speed.,Andrew prefers a slow internet connection because of the lower cost.,"Andrew is looking to set up a new internet connection. He has two options: a slow one and a fast one, will he select the fast one?",Yes,No
People prefer fast internet speeds,Andrew likes to use a fast internet connection.,Andrew prefers a slow internet connection because of the lower cost.,"Andrew is looking to set up a new internet connection. He has two options: a slow one and a fast one, will he select the slow one?",No,Yes
"Generally, police officer arrest criminals",Mark is a police officer and only arrests guilty people.,Mark is a corrupt police officer and only arrests innocent people,Mark found an innocent person running down the road. Will Mark arrest that innocent person?,No,Yes
"Generally, police officer arrest criminals",Mark is a police officer and only arrests guilty people.,Mark is a corrupt police officer and only arrests innocent people,Mark found a criminal running down the road. Will Mark arrest that criminal?,Yes,No
"Generally, police officer arrest criminals",Mark is a police officer and always arrests criminals.,Mark is a corrupt police officer and never arrests criminals,Mark found an innocent person running down the road. Will Mark arrest that innocent person?,No,Yes
"Generally, police officer arrest criminals",Mark is a police officer and always arrests criminals.,Mark is a corrupt police officer and never arrests criminals,Mark found a criminal running down the road. Will Mark arrest that criminal?,Yes,No
People don't prefer to watch advertisements during YouTube video,Joey does not like to watch a lot of ads in his YouTube videos.,Joey likes to watch a lot of ads in his YouTube videos,Joey is watching a documentary on YouTube and didn't see any ads. Will he be happy?,Yes,No
People don't prefer to watch advertisements during YouTube video,Joey does not like to watch a lot of ads in his YouTube videos.,Joey likes to watch a lot of ads in his YouTube videos,Joey is watching a documentary on YouTube and saw a lot of ads. Will he be happy?,No,Yes
People don't prefer to watch advertisements during YouTube video,Joey likes to watch YouTube videos without ads.,Joey doesn't like to watch YouTube videos without any ads,Joey is watching a documentary on YouTube and didn't see any ads. Will he be happy?,Yes,No
People don't prefer to watch advertisements during YouTube video,Joey likes to watch YouTube videos without ads.,Joey doesn't like to watch YouTube videos without any ads,Joey is watching a documentary on YouTube and saw a lot of ads. Will he be happy?,No,Yes
"Generally, people go to kitchen if they are hungry or cooking",Veronica only goes to the kitchen for cooking or eating.,Veronica only goes to kitchen for sleeping,Veronica is hungry. Will she go to the kitchen?,Yes,No
"Generally, people go to kitchen if they are hungry or cooking",Veronica only goes to the kitchen for cooking.,Veronica only goes to kitchen for sleeping,Veronica wants to cook . Will she go to the kitchen?,Yes,No
"Generally, people go to kitchen if they are hungry or cooking",Veronica only goes to the kitchen for cooking.,Veronica only goes to kitchen for sleeping,Veronica wants to sleep . Will she go to the kitchen?,No,Yes
"Generally, people go to kitchen if they are hungry or cooking",Veronica goes to the kitchen for eating and cooking.,Veronica doesn't go to kitchen for eating or cooking,Veronica is hungry. Will she go to the kitchen?,Yes,No
"Generally, people go to kitchen if they are hungry or cooking",Veronica goes to the kitchen for eating and cooking.,Veronica doesn't go to kitchen for eating or cooking,Veronica wants to cook . Will she go to the kitchen?,Yes,No
"Generally, people go to kitchen if they are hungry or cooking",Veronica goes to the kitchen for eating and cooking.,Veronica doesn't go to kitchen for eating or cooking,Veronica wants to sleep . Will she go to the kitchen?,No,Yes
"Generally, people dance along with music",Matt can only dance with music.,Matt can only dance without music,Matt wants to dance and his sister put on music. Will Matt dance?,Yes,No
"Generally, people dance along with music",Matt can only dance with music.,Matt can only dance without music,Matt wants to dance and his sister turned off the music. Will Matt dance?,No,Yes
"Generally, people dance along with music",Matt can dance with music only.,Matt cannot dance with music,Matt wants to dance and his sister put on music. Will Matt dance?,Yes,No
"Generally, people dance along with music",Matt can dance with music only.,Matt cannot dance with music,Matt wants to dance and his sister turned off the music. Will Matt dance?,No,Yes
"Generally, people don't cut their own hair",Felix prefers to go to the best barber for hair cut.,Felix prefers to cut his hair himself.,Felix wants to get shorter hair. Will he go to a barber?,Yes,No
"Generally, people don't cut their own hair",Felix prefers to go to the best barber for hair cut.,Felix prefers to cut his hair himself.,Felix wants to get shorter hair. Will he cut his own hair?,No,Yes
